MP_Name,MP_Total_Allocation,MP_Total_Sanctioned,MP_Total_Disbursed,MP_Total_Projects,MP_Completed_Projects,MP_Completion_Rate,MP_Budget_Utilization_Percent,MP_Performance_Rank
BHARTI PARDHI,98486443.0,98486443.0,92426127.0,159,80,50.314465408805034,93.84654799645877,193.0
BHASKAR MURLIDHAR BHAGARE,72571173.0,72571173.0,28975121.0,81,20,24.691358024691358,39.926488441905164,364.0
BHAUSAHEB RAJARAM WAKCHAURE,69168163.0,69168163.0,19221948.0,98,10,10.204081632653061,27.790166987664545,456.0
BHOJRAJ NAG,52480971.0,52480971.0,35985836.0,72,29,40.27777777777778,68.56930295744719,259.0
BHUMARE SANDIPANRAO ASARAM,50879317.0,50879317.0,50596352.0,36,27,75.0,99.44385063187858,55.0
BHUPENDER YADAV,91636318.0,91636318.0,59285868.0,65,31,47.69230769230769,64.69691198199386,205.0
BIBHU PRASAD TARAI,71059588.0,71059588.0,16033683.0,184,15,8.152173913043478,22.563715117515176,469.0
BIJULI KALITA MEDHI,86850000.0,86850000.0,71052648.0,97,5,5.154639175257731,81.8107633851468,480.0
BIPLAB KUMAR DEB,86290946.0,86290946.0,51962677.0,20,7,35.0,60.21799436524893,290.0
BISHNU PADA RAY,36232528.0,36232528.0,15498347.0,13,0,0.0,42.77467749421183,500.0
BRIJENDRA SINGH OLA,80349840.0,80349840.0,55610081.0,160,92,57.49999999999999,69.20994615546216,141.0
BRIJMOHAN AGRAWAL,95249504.0,95249504.0,68756217.0,129,38,29.457364341085274,72.18538061888489,331.0
BUNTY VIVEK SAHU,77979130.0,77979130.0,53681964.0,378,100,26.455026455026452,68.8414502700915,352.0
Balashowry Vallabbhaneni,34933559.0,34933559.0,14120726.0,46,8,17.391304347826086,40.42166445165235,417.0
Bansuri Swaraj,49696313.0,49696313.0,21775293.0,76,42,55.26315789473685,43.81671734883029,154.0
Bhagirath Chaudhary,74403906.0,74403906.0,46564143.0,117,59,50.427350427350426,62.58292810595185,191.0
Bharatsinhji Shankarji Dabhi,99095538.0,99095538.0,70906510.0,268,161,60.07462686567165,71.55368589855175,126.0
Bhola Singh,133879916.0,133879916.0,101017522.0,289,142,49.13494809688581,75.45382833971901,198.0
Bhupathiraju Srinivasa varma,12000000.0,12000000.0,0.0,1,0,0.0,0.0,500.0
Bidyut Baran Mahato,98552297.0,98552297.0,75745972.0,174,2,1.1494252873563218,76.85865708437014,498.0
C R Patil,111819644.0,111819644.0,67863295.0,374,261,69.78609625668449,60.68995801846767,74.0
C.M.RAMESH,74523442.0,74523442.0,32523660.0,91,18,19.78021978021978,43.64218711207676,399.0
CAPTAIN BRIJESH CHOWTA,77467059.0,77467059.0,48429304.0,167,75,44.91017964071856,62.51599663800326,220.0
CAPTAIN VIRIATO FERNANDES,53443447.0,53443447.0,48358008.0,57,41,71.9298245614035,90.4844479810593,66.0
CHAMALA KIRAN KUMAR REDDY,78067853.0,78067853.0,62689273.0,468,417,89.1025641025641,80.30100814992312,17.0
CHANDAN CHAUHAN,92097954.0,92097954.0,78306036.0,109,14,12.844036697247708,85.0247292138542,441.0
CHANDRA SHEKHAR,91321370.0,91321370.0,87033825.0,504,286,56.74603174603175,95.30499268681581,147.0
CHANDUBHAI CHHAGANBHAI SHIHORA,84225607.0,84225607.0,59047027.0,199,100,50.25125628140703,70.10578979858228,194.0
CHARANJIT SINGH CHANNI,37124370.0,37124370.0,24369193.0,149,56,37.58389261744966,65.64203783121437,282.0
CHHATRA PAL SINGH GANGWAR,97849541.0,97849541.0,95712065.0,145,140,96.55172413793103,97.81554826097754,5.0
CHHATRAPATI SHAHU SHAHAJI,33824291.0,33824291.0,33696592.0,33,22,66.66666666666666,99.62246363124063,82.0
CHHOTELAL,103598735.0,103598735.0,90952339.0,410,262,63.90243902439025,87.79290500023963,96.0
CHINTAMANI MAHARAJ,93757644.0,93757644.0,60870137.0,322,69,21.428571428571427,64.92285258362507,391.0
CHIRAG PASWAN,80326162.0,80326162.0,47783578.0,83,47,56.62650602409639,59.486942747245905,148.0
CN Annadurai,95063161.0,95063161.0,87500808.0,188,171,90.95744680851064,92.04491737866786,12.0
Chandra Prakash Joshi,10077214.0,10077214.0,4660559.0,17,10,58.82352941176471,46.24848693299557,132.0
D M Kathir Anand,81961477.0,81961477.0,33728871.0,75,15,20.0,41.15210246882203,396.0
D Ravikumar,132825450.0,132825450.0,103445450.0,266,222,83.45864661654136,77.88074499277059,27.0
DAGGUMALLA PRASADA RAO,95371539.0,95371539.0,76341346.0,143,111,77.62237762237763,80.0462557283468,45.0
DAMODAR AGARWAL,88521346.0,88521346.0,57853400.0,207,101,48.792270531400966,65.35530989327704,199.0
DAROGA PRASAD SAROJ,93056378.0,93056378.0,82499872.0,289,59,20.415224913494807,88.65579530722762,395.0
DARSHAN SINGH CHOUDHARY,49492611.0,49492611.0,29467552.0,314,49,15.605095541401273,59.53929567385321,430.0
DEEPENDER SINGH HOODA,91793825.0,91793825.0,58129766.0,135,70,51.85185185185185,63.32644488885827,183.0
DEVESH CHANDRA THAKUR,52285840.0,52285840.0,37394417.0,127,103,81.10236220472441,71.51920481721245,37.0
DEVESH SHAKYA,88651205.0,88651205.0,81351075.0,305,220,72.1311475409836,91.76533471823649,65.0
DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,16615160.0,16615160.0,14990871.0,13,7,53.84615384615385,90.22405441777268,163.0
DHARMENDRA PRADHAN,85753000.0,85753000.0,9004141.0,110,2,1.8181818181818181,10.50008862663697,493.0
DHARMENDRA YADAV,94332298.0,94332298.0,61049101.0,65,15,23.076923076923077,64.7170717711128,379.0
DHAVAL LAXMANBHAI PATEL,75117733.0,75117733.0,36923530.0,189,60,31.746031746031743,49.154212361547174,313.0
DINESHBHAI MAKWANA,71808085.0,71808085.0,25122452.0,125,2,1.6,34.98554793655895,495.0
DR BYREDDY SHABARI,86690510.0,86690510.0,45967505.0,175,69,39.42857142857143,53.024840896656386,264.0
DR C N MANJUNATH,69910941.0,69910941.0,56108012.0,142,62,43.66197183098591,80.25641079555774,239.0
DR DHARAMVIRA GANDHI,77306672.0,77306672.0,51689977.0,273,51,18.681318681318682,66.86353928157715,410.0
DR KALGE SHIVAJI BANDAPPA,30832651.0,30832651.0,28052316.0,36,26,72.22222222222221,90.98249774240949,64.0
DR RAJKUMAR SANGWAN,59471030.0,59471030.0,36662976.0,68,16,23.52941176470588,61.64846312565967,374.0
DR RANI SRI KUMAR,100119359.0,100119359.0,99919930.0,123,102,82.92682926829268,99.8008087526809,33.0
DR. HEMANG JOSHI,100612489.0,100612489.0,67464263.0,165,70,42.42424242424242,67.05356727632491,249.0
DR. HEMANT VISHNU SAVARA,8749000.0,8749000.0,8415952.0,11,1,9.090909090909092,96.19330209166762,463.0
DR. KIRSAN NAMDEO,47637283.0,47637283.0,22599453.0,61,18,29.508196721311474,47.440684222061954,330.0
DR. LATA WANKHEDE,102329716.0,102329716.0,94998719.0,166,98,59.036144578313255,92.83590604316736,131.0
DR. M.P ABDUSSAMAD SAMADANI,78014005.0,78014005.0,14277868.0,179,49,27.37430167597765,18.301672885528696,344.0
DR. MANSUKH MANDAVIYA,89658455.0,89658455.0,34762587.0,185,71,38.37837837837838,38.772235145028986,275.0
DR. PRABHA MALLIKARJUN,68500000.0,68500000.0,57444696.0,68,5,7.352941176470589,83.8608700729927,474.0
DR. PRADEEP KUMAR PANIGRAHY,6000000.0,6000000.0,0.0,15,0,0.0,0.0,500.0
DR. PRASHANT YADAORAO PADOLE,32172033.0,32172033.0,14261839.0,42,8,19.047619047619047,44.329927797848526,404.0
DR. RAJ KUMAR CHABBEWAL,104447592.0,104447592.0,74795623.0,258,93,36.04651162790697,71.61067246050057,286.0
DR. RAJESH MISHRA,197164277.0,197164277.0,183007865.0,258,172,66.66666666666666,92.81999142268556,82.0
DR. S P SINGH,79909871.0,79909871.0,42783929.0,363,106,29.201101928374655,53.540230342757035,334.0
DR. SHARMILA SARKAR,48295589.0,48295589.0,21224009.0,56,17,30.357142857142854,43.94606099534266,323.0
DR.K.SUDHAKAR,72594028.0,72594028.0,37428975.0,108,18,16.666666666666664,51.55930319777819,421.0
DR.MALLU RAVI,86327918.0,86327918.0,47000729.0,175,143,81.71428571428572,54.44441391485893,35.0
DULU MAHATO,94445645.0,94445645.0,50288360.0,272,57,20.955882352941178,53.245821975168894,392.0
DURAI VAIKO,71878829.0,71878829.0,63160121.0,65,45,69.23076923076923,87.87026983981612,77.0
Daggubati Purandeshwari,88500000.0,88500000.0,14394558.0,28,3,10.714285714285714,16.26503728813559,453.0
Devendra Alias Bhole Singh,110013145.0,110013145.0,62000186.0,148,62,41.891891891891895,56.357070784586696,251.0
Devusinh Jesingbhai Chauhan,89092971.0,89092971.0,54783374.0,404,247,61.13861386138614,61.49011912511033,117.0
Dhairyasheel Sambhajirao Mane,12901717.0,12901717.0,7519206.0,9,4,44.44444444444444,58.28066140343956,227.0
Dileshwar Kamait,100291237.0,100291237.0,84724681.0,86,46,53.48837209302325,84.47864792015677,168.0
Dilip Saikia,47850000.0,47850000.0,25452092.0,150,5,3.3333333333333335,53.19141483803552,488.0
Dinesh Chandra Yadav,122338231.0,122338231.0,92486814.0,147,105,71.42857142857143,75.59927362363119,68.0
Dr Chandra Sekhar Pemmasani,93401846.0,93401846.0,34347164.0,94,9,9.574468085106384,36.77353871571232,460.0
Dr Jayanta Kumar Roy,30542393.0,30542393.0,12082736.0,18,2,11.11111111111111,39.56054131056463,450.0
Dr Mohammad Jawed,118345700.0,118345700.0,89065400.0,183,130,71.03825136612022,75.25867015024626,70.0
Dr Shashi Tharoor,91860457.0,91860457.0,41754577.0,113,40,35.39823008849557,45.45435366166314,288.0
Dr Sukanta Majumdar,78970601.8,78970601.8,21003612.0,180,33,18.333333333333332,26.596748057199182,413.0
Durga Das Uikey,91391154.0,91391154.0,85636977.0,334,288,86.22754491017965,93.70379216351728,24.0
Dushyant Singh,8699933.0,8699933.0,6025816.0,5,0,0.0,69.26278627662995,500.0
E. TUKARAM,23600000.0,23600000.0,13410937.0,22,3,13.636363636363635,56.82600423728813,439.0
E.T. MOHAMMED BASHEER,77626175.0,77626175.0,32683493.0,148,39,26.351351351351347,42.103701489864726,356.0
EATALA RAJENDER,131071778.0,131071778.0,33221400.0,157,31,19.745222929936308,25.345959677147277,400.0
ESWARASAMY K,64938165.0,64938165.0,56246950.0,60,46,76.66666666666667,86.61616785753031,49.0
Faggan Singh Kulaste,76138616.0,76138616.0,54408168.0,222,31,13.963963963963963,71.45936038553683,437.0
G. KUMAR NAIK,36995548.0,36995548.0,23521564.0,50,9,18.0,63.57944474832485,414.0
GAIKWAD VARSHA EKNATH,98000000.0,98000000.0,92563767.0,57,0,0.0,94.45282346938775,500.0
GANAPATHY RAJKUMAR P,58771965.0,58771965.0,42262960.0,48,7,14.583333333333334,71.91006800606378,433.0
GAURAV GOGOI,71795784.0,71795784.0,37014441.0,336,32,9.523809523809524,51.55517349040997,461.0
GENIBEN NAGAJI THAKOR,52316737.0,52316737.0,25832765.0,119,41,34.45378151260504,49.37763033654029,295.0
GM Harish Balayogi,93957300.0,93957300.0,53410502.0,105,40,38.095238095238095,56.84550535189922,277.0
GODAM NAGESH,53879990.0,53879990.0,35717086.0,188,80,42.5531914893617,66.2900754064728,247.0
GOPINATH K,54856009.0,54856009.0,40047142.0,68,36,52.94117647058824,73.00411154592015,173.0
GOVIND MAKTHAPPA KARJOL,70600000.0,70600000.0,45195747.0,136,20,14.705882352941178,64.0166388101983,432.0
GURMEET SINGH MEET HAYER,77825022.0,77825022.0,53752179.0,304,132,43.42105263157895,69.06799075495283,241.0
Gajendra Singh Patel,84047203.0,84047203.0,67543845.0,251,104,41.43426294820717,80.36417940047332,255.0
Gajendra Singh Shekhawat,4065000.0,4065000.0,0.0,2,0,0.0,0.0,500.0
Ganesan Selvam,115068025.0,115068025.0,108395338.0,286,271,94.75524475524476,94.20109365742569,6.0
Ganesh Singh,62710054.0,62710054.0,37994332.0,295,77,26.101694915254235,60.58730550606766,357.0
Giridhari Yadav,117679590.0,117679590.0,114805889.0,98,85,86.73469387755102,97.55802939150281,23.0
Giriraj Singh,60075232.0,60075232.0,32994877.0,45,17,37.77777777777778,54.92259605422747,281.0
Gumma Thanuja Rani,91100215.0,91100215.0,71271975.0,114,26,22.807017543859647,78.2346946162531,382.0
Gyaneshwar Patil,97285737.0,97285737.0,86011926.0,289,163,56.40138408304498,88.41165072327098,150.0
H.D. KUMARASWAMY,52700000.0,52700000.0,42950000.0,82,7,8.536585365853659,81.49905123339659,466.0
HARENDRA SINGH MALIK,75753226.0,75753226.0,45077485.0,121,32,26.446280991735538,59.50569682669355,354.0
HARIBHAI PATEL,90527572.0,90527572.0,50394435.0,472,150,31.779661016949152,55.66749873729078,312.0
Harsh Malhotra,73281059.0,73281059.0,24390277.0,108,51,47.22222222222222,33.28319395602621,209.0
Hasmukh Bhai Soma Bhai Patel,66335278.0,66335278.0,30682934.0,108,21,19.444444444444446,46.25432337827845,403.0
IMRAN MASOOD,87263833.0,87263833.0,61171580.0,102,51,50.0,70.0995795130842,195.0
IQRA CHOUDHARY,51395572.0,51395572.0,49401686.0,63,42,66.66666666666666,96.12051014822833,82.0
ISHA KHAN CHOUDHURY,41280584.0,41280584.0,8567025.0,83,25,30.120481927710845,20.7531584339989,326.0
Indra Hang Subba,101279926.0,101279926.0,98023420.0,62,38,61.29032258064516,96.78464812464416,115.0
JAGADISH CHANDRA BARMA BASUNIA,32035060.0,32035060.0,26944165.0,39,0,0.0,84.10836439825616,500.0
JAGADISH SHETTAR,13000000.0,13000000.0,9847651.0,21,1,4.761904761904762,75.75116153846155,482.0
JAI PARKASH,110125713.0,110125713.0,67953815.0,359,68,18.94150417827298,61.70567540389046,406.0
JASHUBHAI BHILUBHAI RATHVA,101726251.0,101726251.0,40426028.0,340,100,29.411764705882355,39.74001558358815,332.0
JITAN RAM MANJHI,88458645.0,88458645.0,57424700.0,248,152,61.29032258064516,64.91700161131793,115.0
JITENDRA KUMAR DOHARE,136816853.0,136816853.0,119571988.0,404,192,47.524752475247524,87.39565731715814,208.0
JITIN PRASADA,78392964.0,78392964.0,41842816.0,58,22,37.93103448275862,53.37572897486055,278.0
JOBA MAJHI,76870710.0,76870710.0,59054467.0,117,0,0.0,76.82310596584837,500.0
JOYANTA BASUMATARY,81539810.0,81539810.0,62530971.0,74,20,27.027027027027028,76.68765845787475,346.0
JUNE MALIAH,70953801.0,70953801.0,36949288.0,22,7,31.818181818181817,52.07513548146632,311.0
JYOTIRADITYA M. SCINDIA,62474298.0,62474298.0,55870850.0,62,45,72.58064516129032,89.43013653390712,61.0
Jagannath Sarkar,77924507.0,77924507.0,41712525.0,154,70,45.45454545454545,53.529405068934224,216.0
Jagdambika Pal,93108500.0,93108500.0,38873088.0,68,0,0.0,41.7503106590698,500.0
Jai Prakash,96120110.0,96120110.0,85755277.0,23,3,13.043478260869565,89.21679032618668,440.0
Janardan Mishra,94132112.0,94132112.0,86935425.0,83,1,1.2048192771084338,92.35469506941479,497.0
Jaswantsinh Sumanbhai Bhabhor,87394224.0,87394224.0,26203905.0,273,65,23.809523809523807,29.98356619082744,370.0
Jitendra Singh,93435173.0,93435173.0,47977099.0,307,186,60.586319218241044,51.34800681537776,120.0
Jyotsna Charandas Mahant,107247960.0,107247960.0,74559859.0,297,136,45.79124579124579,69.52100440884843,215.0
K E PRAKASH,93134224.0,93134224.0,87182728.0,153,141,92.15686274509804,93.60976476273642,10.0
K RADHAKRISHNAN,94371635.0,94371635.0,28066021.0,130,15,11.538461538461538,29.739890593185127,449.0
K Subbarayan,84249576.0,84249576.0,81901423.0,76,65,85.52631578947368,97.21286075077695,25.0
K. C VENUGOPAL,66767509.0,66767509.0,44331588.0,70,37,52.85714285714286,66.39694765308677,175.0
K. RAJASHEKAR BASAVARAJ HITNAL,76630099.0,76630099.0,66577182.0,131,68,51.908396946564885,86.88124231706918,182.0
KADIYAM KAVYA,64063536.0,64063536.0,27189421.0,158,53,33.54430379746836,42.44133667551539,302.0
KALI CHARAN MUNDA,87980900.0,87980900.0,77772545.0,165,31,18.787878787878785,88.39707822947935,408.0
KALI CHARAN SINGH,94285624.0,94285624.0,49787316.0,460,75,16.304347826086957,52.80477965548598,424.0
KALIPADA SAREN,76426325.0,76426325.0,71784126.0,45,40,88.88888888888889,93.92591623370612,18.0
KALYAN VAIJINATHRAO KALE,40151425.0,40151425.0,39751304.0,42,19,45.23809523809524,99.00346998892319,218.0
KAMAKHYA PRASAD TASA,61369000.0,61369000.0,11710303.0,58,0,0.0,19.081788851048575,500.0
KAMLESH JANGDE,114661679.0,114661679.0,98097656.0,344,254,73.83720930232558,85.55400274576478,59.0
KANWAR SINGH TANWAR,104860643.0,104860643.0,78135018.0,90,59,65.55555555555556,74.51319748249112,89.0
KARAN BHUSHAN SINGH,96101675.0,96101675.0,95454825.0,73,33,45.20547945205479,99.3269107952593,219.0
KARTICK CHANDRA PAUL,150363143.0,150363143.0,28148611.0,400,99,24.75,18.72041940490696,363.0
KISHORI LAL,85762339.0,85762339.0,82181354.0,47,20,42.5531914893617,95.82452502840437,247.0
KONDA VISHWESHWAR REDDY,133025175.0,133025175.0,57214092.0,468,181,38.675213675213676,43.00997311223232,273.0
KOTA SRINIVAS POOJARY,50710292.0,50710292.0,38622793.0,130,51,39.23076923076923,76.16361783126786,269.0
KRISHNA DEVI SHIVSHANKER PATEL,93761034.12,93761034.12,74835215.67,316,202,63.92405063291139,79.81483605889223,95.0
KRITI DEVI DEBBARMAN,50286310.0,50286310.0,32934783.0,33,13,39.39393939393939,65.49453121535464,265.0
KULDEEP INDORA,47245574.0,47245574.0,11115739.0,66,2,3.0303030303030303,23.52757741920968,489.0
KUNDURU RAGHUVEER,19168401.0,19168401.0,7766945.0,25,6,24.0,40.51952481586753,369.0
Kakoli Ghosh Dastidar,65416487.0,65416487.0,59797583.0,93,72,77.41935483870968,91.41056902062013,47.0
Kalanidhi Veeraswamy,100714864.0,100714864.0,83933669.0,60,40,66.66666666666666,83.33791623846109,82.0
Kalyan Banerjee,92886638.0,92886638.0,76719145.0,118,83,70.33898305084746,82.59438241267813,73.0
Kamaljeet Sehrawat,49986400.0,49986400.0,13075365.0,50,31,62.0,26.157844933822,111.0
Kamlesh Paswan,95398414.0,95398414.0,32451268.0,118,0,0.0,34.01656970942934,500.0
Kangana Ranaut,91517579.0,91517579.0,44152356.0,307,49,15.960912052117262,48.244672206636935,428.0
Kani K Navas,57323467.0,57323467.0,54425096.0,87,68,78.16091954022988,94.9438316422836,43.0
Kanimozhi Karunanidhi,72082027.0,72082027.0,58344698.0,28,12,42.857142857142854,80.94208837939588,243.0
Kaushalendra Kumar,61219429.0,61219429.0,44517141.0,137,91,66.42335766423358,72.71734109117548,87.0
Khagen Murmu,12703116.0,12703116.0,6003169.0,13,7,53.84615384615385,47.257452423484125,163.0
Khalilur Rahaman,54490741.0,54490741.0,21631147.0,79,31,39.24050632911392,39.696922088103,268.0
