State,Constituency,Constituency_ID,District_Code,Latitude,Longitude,Spatial_Cluster_ID,Zone_Fraud_Risk_Score
Chhattisgarh,RAIPUR,CONST_28,DIST_28,26.415,88.7971,CLUSTER_23,56.95
West Bengal,DARJEELING,CONST_29,DIST_29,23.5861,86.8112,CLUSTER_44,24.69
Tamil Nadu,VIRUDHUNAGAR,CONST_30,DIST_30,33.7717,82.4103,CLUSTER_47,56.12
Odisha,KALAHANDI,CONST_31,DIST_31,27.0864,71.3105,CLUSTER_42,32.64
Andhra Pradesh,KADAPA,CONST_32,DIST_32,32.8213,90.3154,CLUSTER_14,71.7
Kerala,ERNAKULAM,CONST_33,DIST_33,36.4802,72.7241,CLUSTER_6,11.81
Uttar Pradesh,GAUTAM BUDDHA NAGAR,CONST_34,DIST_34,27.8687,87.038,CLUSTER_21,68.04
Uttar Pradesh,AMBEDKAR NAGAR,CONST_35,DIST_35,22.5068,84.518,CLUSTER_30,20.27
Madhya Pradesh,KHANDWA,CONST_36,DIST_36,17.8812,84.1329,CLUSTER_45,82.18
Tamil Nadu,KANNIYAKUMARI,CONST_37,DIST_37,33.3353,68.5077,CLUSTER_49,41.39
West Bengal,JHARGRAM(ST),CONST_38,DIST_38,10.3613,74.8936,CLUSTER_34,35.72
Uttar Pradesh,FIROZABAD,CONST_39,DIST_39,21.6896,88.5578,CLUSTER_33,42.49
Rajasthan,BHARATPUR(SC),CONST_40,DIST_40,31.1169,86.1199,CLUSTER_27,79.05
Maharashtra,NANDURBAR(ST),CONST_41,DIST_41,8.9466,88.215,CLUSTER_33,16.57
Andhra Pradesh,TIRUPATI(SC),CONST_42,DIST_42,8.3535,84.6409,CLUSTER_20,89.37
Maharashtra,AMRAVATI(SC),CONST_43,DIST_43,34.1851,81.0465,CLUSTER_37,58.31
Chhattisgarh,DURG,CONST_44,DIST_44,33.3066,87.3092,CLUSTER_5,10.81
Jharkhand,GIRIDIH,CONST_45,DIST_45,20.8288,70.9619,CLUSTER_13,14.92
Gujarat,KACHCHH(SC),CONST_46,DIST_46,33.0471,91.8534,CLUSTER_14,11.16
Punjab,ANANDPUR SAHIB,CONST_47,DIST_47,13.7177,87.9284,CLUSTER_4,67.84
Sikkim,SIKKIM,CONST_48,DIST_48,12.6691,72.7676,CLUSTER_25,33.77
Kerala,MAVELIKKARA(SC),CONST_49,DIST_49,21.3506,77.6659,CLUSTER_46,72.63
Karnataka,BANGALORE SOUTH,CONST_50,DIST_50,32.0527,86.091,CLUSTER_15,15.26
West Bengal,HOOGHLY,CONST_51,DIST_51,8.2873,74.6465,CLUSTER_19,53.4
Maharashtra,NAGPUR,CONST_52,DIST_52,11.5525,90.9124,CLUSTER_14,37.6
Uttar Pradesh,HARDOI (SC),CONST_53,DIST_53,36.9849,69.008,CLUSTER_35,15.66
West Bengal,MATHURAPUR(SC),CONST_54,DIST_54,35.566,77.1331,CLUSTER_42,87.96
Assam,GUWAHATI,CONST_55,DIST_55,10.2978,77.8308,CLUSTER_30,81.9
Jharkhand,KHUNTI(ST),CONST_56,DIST_56,10.7168,93.0757,CLUSTER_18,74.31
Bihar,SIWAN,CONST_57,DIST_57,27.8797,84.3917,CLUSTER_49,43.84
Uttar Pradesh,AGRA(SC),CONST_58,DIST_58,12.3257,87.733,CLUSTER_25,28.27
Andhra Pradesh,ELURU,CONST_59,DIST_59,10.6187,90.8618,CLUSTER_6,13.06
Gujarat,BARDOLI(ST),CONST_60,DIST_60,27.6538,89.1195,CLUSTER_10,12.64
Uttar Pradesh,DEORIA,CONST_61,DIST_61,28.3697,71.5276,CLUSTER_42,84.28
West Bengal,KRISHNANAGAR,CONST_62,DIST_62,22.1757,83.1954,CLUSTER_14,67.83
Tamil Nadu,ARANI,CONST_63,DIST_63,10.7962,92.0586,CLUSTER_29,36.15
Uttar Pradesh,UNNAO,CONST_64,DIST_64,20.2266,92.6952,CLUSTER_22,18.68
Assam,Diphu (ST),CONST_65,DIST_65,28.5877,70.8661,CLUSTER_19,45.98
Uttar Pradesh,FATEHPUR SIKRI,CONST_66,DIST_66,28.0536,68.1487,CLUSTER_10,84.77
Uttar Pradesh,JHANSI,CONST_67,DIST_67,29.0472,69.7064,CLUSTER_35,35.37
West Bengal,DIAMOND HARBOUR,CONST_68,DIST_68,20.1099,88.1771,CLUSTER_3,24.88
Maharashtra,SOLAPUR(SC),CONST_69,DIST_69,19.6833,77.8979,CLUSTER_47,76.26
Bihar,PATNA SAHIB,CONST_70,DIST_70,27.9807,77.5497,CLUSTER_20,56.04
Maharashtra,SHIRUR,CONST_71,DIST_71,23.0582,89.5288,CLUSTER_6,80.84
Rajasthan,KOTA,CONST_72,DIST_72,15.8942,83.178,CLUSTER_26,71.84
Madhya Pradesh,MANDSOUR,CONST_73,DIST_73,8.6097,81.432,CLUSTER_38,22.64
Uttar Pradesh,HAMIRPUR_UP,CONST_74,DIST_74,12.1088,93.6282,CLUSTER_24,18.84
Uttar Pradesh,BANDA,CONST_75,DIST_75,30.8862,96.2554,CLUSTER_32,30.85
West Bengal,BIRBHUM,CONST_76,DIST_76,19.637,71.1309,CLUSTER_3,28.32
West Bengal,BISHNUPUR(SC),CONST_77,DIST_77,13.9926,87.9726,CLUSTER_23,63.99
Himachal Pradesh,MANDI,CONST_78,DIST_78,11.2847,89.8717,CLUSTER_22,21.48
Arunachal Pradesh,ARUNACHAL EAST,CONST_79,DIST_79,25.3954,71.1198,CLUSTER_17,28.14
Chhattisgarh,SARGUJA(ST),CONST_80,DIST_80,33.1315,95.5841,CLUSTER_24,25.5
Gujarat,NAVSARI,CONST_81,DIST_81,25.7534,95.5727,CLUSTER_22,61.62
Tamil Nadu,TIRUPPUR,CONST_82,DIST_82,12.6625,87.0411,CLUSTER_26,74.89
Madhya Pradesh,RAJGARH,CONST_83,DIST_83,23.326,96.4932,CLUSTER_42,75.24
West Bengal,ARAMBAG(SC),CONST_84,DIST_84,13.4219,86.3942,CLUSTER_26,15.69
Andhra Pradesh,AMALAPURAM(SC),CONST_85,DIST_85,11.0985,95.5164,CLUSTER_29,37.94
Uttar Pradesh,ROBERTSGANJ(SC),CONST_86,DIST_86,11.8978,89.8855,CLUSTER_18,55.85
Telangana,NIZAMABAD,CONST_87,DIST_87,12.0835,93.0172,CLUSTER_37,49.08
Maharashtra,OSMANABAD,CONST_88,DIST_88,36.1109,81.013,CLUSTER_37,86.65
Punjab,BHATINDA,CONST_89,DIST_89,15.0422,73.3959,CLUSTER_35,68.99
Madhya Pradesh,SAGAR,CONST_90,DIST_90,18.7731,95.4557,CLUSTER_28,62.79
Kerala,ALAPPUZHA,CONST_91,DIST_91,12.62,68.2824,CLUSTER_13,85.72
West Bengal,ULUBERIA,CONST_92,DIST_92,13.3963,91.9084,CLUSTER_44,69.6
Uttar Pradesh,MUZAFFARNAGAR,CONST_93,DIST_93,33.1498,92.0642,CLUSTER_44,50.36
Rajasthan,UDAIPUR(ST),CONST_94,DIST_94,12.7478,93.8738,CLUSTER_41,59.03
Madhya Pradesh,DAMOH,CONST_95,DIST_95,32.0553,78.9187,CLUSTER_5,16.38
Assam,LAKHIMPUR,CONST_96,DIST_96,34.0813,86.0873,CLUSTER_15,34.14
Bihar,SUPAUL,CONST_97,DIST_97,10.0855,73.3377,CLUSTER_36,16.33
Tamil Nadu,DINDIGUL,CONST_98,DIST_98,13.428,90.512,CLUSTER_11,84.04
Gujarat,SABARKANTHA,CONST_99,DIST_99,9.4103,68.0748,CLUSTER_22,31.04
Chhattisgarh,MAHASAMUND,CONST_100,DIST_100,14.5166,96.0599,CLUSTER_33,45.77
Maharashtra,RAVER,CONST_101,DIST_101,12.4562,81.9856,CLUSTER_34,31.08
Uttar Pradesh,MACHHLISHAHR(SC),CONST_102,DIST_102,12.5249,93.868,CLUSTER_4,30.04
Rajasthan,AJMER,CONST_103,DIST_103,28.4633,78.334,CLUSTER_31,39.09
Andhra Pradesh,MACHILIPATNAM,CONST_104,DIST_104,34.9981,80.26,CLUSTER_2,35.69
Odisha,SUNDARGARH (ST),CONST_105,DIST_105,36.9851,95.1542,CLUSTER_9,49.78
Karnataka,BANGALORE RURAL,CONST_106,DIST_106,32.2027,94.3656,CLUSTER_15,46.05
Bihar,GOPALGANJ (SC),CONST_107,DIST_107,12.7458,88.1627,CLUSTER_6,49.11
Nagaland,NAGALAND,CONST_108,DIST_108,36.8934,73.6681,CLUSTER_15,38.63
Rajasthan,CHITTORGARH,CONST_109,DIST_109,30.2734,87.3279,CLUSTER_41,75.21
Rajasthan,JAIPUR,CONST_110,DIST_110,24.984,84.9404,CLUSTER_6,30.19
Tamil Nadu,NILGIRIS(SC),CONST_111,DIST_111,26.6221,90.8019,CLUSTER_3,33.74
Rajasthan,BANSWARA(ST),CONST_112,DIST_112,8.0097,77.043,CLUSTER_44,54.16
Bihar,SASARAM(SC),CONST_113,DIST_113,29.2373,94.0321,CLUSTER_13,76.33
Telangana,MEDAK,CONST_114,DIST_114,15.3607,68.5826,CLUSTER_23,12.33
Tamil Nadu,VILUPPURAM(SC),CONST_115,DIST_115,24.1891,71.9728,CLUSTER_42,33.33
Chhattisgarh,KORBA,CONST_116,DIST_116,30.9933,79.1279,CLUSTER_44,27.62
Tamil Nadu,THANJAVUR,CONST_117,DIST_117,32.0315,72.0462,CLUSTER_40,83.87
Tamil Nadu,SIVAGANGA,CONST_118,DIST_118,29.956,78.0256,CLUSTER_39,88.67
Jharkhand,DUMKA(ST),CONST_119,DIST_119,35.7524,81.8247,CLUSTER_25,55.1
Uttar Pradesh,JALAUN(SC),CONST_120,DIST_120,35.421,74.2186,CLUSTER_4,31.34
Uttar Pradesh,SALEMPUR,CONST_121,DIST_121,20.7822,76.3615,CLUSTER_21,89.8
Uttar Pradesh,AONLA,CONST_122,DIST_122,12.6435,79.1973,CLUSTER_36,27.37
Punjab,SANGRUR,CONST_123,DIST_123,30.4581,81.2779,CLUSTER_25,86.27
West Bengal,BARASAT,CONST_124,DIST_124,35.7996,71.3057,CLUSTER_15,72.93
Uttar Pradesh,KANPUR,CONST_125,DIST_125,21.1519,68.7241,CLUSTER_41,68.63
Assam,NOWGONG,CONST_126,DIST_126,17.9275,94.7678,CLUSTER_37,80.81
Punjab,HOSHIARPUR(SC),CONST_127,DIST_127,18.907,78.3723,CLUSTER_18,46.58
Gujarat,RAJKOT,CONST_128,DIST_128,26.6154,91.3873,CLUSTER_39,77.69
Bihar,BANKA,CONST_129,DIST_129,32.4466,76.9842,CLUSTER_44,65.2
West Bengal,TAMLUK,CONST_130,DIST_130,15.7059,78.4155,CLUSTER_11,49.76
Tamil Nadu,TIRUVALLUR(SC),CONST_131,DIST_131,10.8945,94.8333,CLUSTER_4,83.57
Punjab,PATIALA,CONST_132,DIST_132,16.9021,82.2116,CLUSTER_8,34.24
Kerala,KANNUR,CONST_133,DIST_133,11.4176,75.8679,CLUSTER_26,44.11
Tamil Nadu,NAMAKKAL,CONST_134,DIST_134,17.1386,92.8307,CLUSTER_50,41.44
Uttar Pradesh,KAISERGANJ,CONST_135,DIST_135,34.4547,96.5631,CLUSTER_40,72.17
Maharashtra,DHULE,CONST_136,DIST_136,22.486,76.7262,CLUSTER_14,79.42
Tamil Nadu,KANCHEEPURAM(SC),CONST_137,DIST_137,16.9263,95.9809,CLUSTER_40,52.56
Madhya Pradesh,MORENA,CONST_138,DIST_138,29.815,91.4713,CLUSTER_34,25.03
Gujarat,AHMEDABAD EAST,CONST_139,DIST_139,19.9848,86.4917,CLUSTER_6,31.05
Kerala,ALATHUR(SC),CONST_140,DIST_140,18.5446,69.8874,CLUSTER_30,78.52
Rajasthan,NAGAUR,CONST_141,DIST_141,27.3804,84.9302,CLUSTER_18,20.86
Uttar Pradesh,RAE BARELI,CONST_142,DIST_142,33.4845,93.8489,CLUSTER_11,79.2
Uttar Pradesh,FAIZABAD,CONST_143,DIST_143,27.2916,70.6985,CLUSTER_22,57.94
Uttar Pradesh,NAGINA(SC),CONST_144,DIST_144,28.517,96.6679,CLUSTER_19,71.93
Bihar,PURNEA,CONST_145,DIST_145,23.588,93.8412,CLUSTER_46,75.75
Madhya Pradesh,SHAHDOL (ST),CONST_146,DIST_146,22.2792,77.1665,CLUSTER_23,80.9
Assam,DHUBRI,CONST_147,DIST_147,19.9245,74.9417,CLUSTER_30,38.14
Gujarat,PATAN,CONST_148,DIST_148,12.2264,90.7223,CLUSTER_11,57.36
Uttar Pradesh,MEERUT,CONST_149,DIST_149,35.5086,89.5169,CLUSTER_34,11.01
Meghalaya,TURA,CONST_150,DIST_150,32.197,83.2076,CLUSTER_24,39.29
Uttar Pradesh,BHADOHI,CONST_151,DIST_151,35.7153,85.7776,CLUSTER_40,31.02
Kerala,KASARAGOD,CONST_152,DIST_152,16.8999,94.6765,CLUSTER_46,41.42
Mizoram,MIZORAM (ST),CONST_153,DIST_153,14.4565,71.8748,CLUSTER_24,36.51
Maharashtra,MAVAL,CONST_154,DIST_154,25.8767,87.0631,CLUSTER_50,34.34
Bihar,AURANGABAD_BR,CONST_155,DIST_155,23.6939,79.5118,CLUSTER_12,46.42
Karnataka,BANGALORE CENTRAL,CONST_156,DIST_156,23.5591,77.4203,CLUSTER_7,78.18
Tamil Nadu,ARAKKONAM,CONST_157,DIST_157,24.8639,91.4213,CLUSTER_28,74.2
Tamil Nadu,PERAMBALUR,CONST_158,DIST_158,26.0241,85.9626,CLUSTER_26,66.84
Maharashtra,MUMBAI NORTH,CONST_159,DIST_159,8.8398,96.6207,CLUSTER_15,19.59
Uttar Pradesh,KAUSHAMBI(SC),CONST_160,DIST_160,31.7204,71.4165,CLUSTER_21,68.81
Goa,NORTH GOA,CONST_161,DIST_161,26.6878,72.8038,CLUSTER_39,21.0
Madhya Pradesh,GUNA,CONST_162,DIST_162,23.1916,91.3154,CLUSTER_37,28.7
Kerala,IDUKKI,CONST_163,DIST_163,15.1997,81.2345,CLUSTER_42,49.75
Chhattisgarh,RAJNANDGAON,CONST_164,DIST_164,36.7842,89.0701,CLUSTER_29,72.69
Maharashtra,AKOLA,CONST_165,DIST_165,26.4421,96.4497,CLUSTER_4,74.17
Andhra Pradesh,NARASARAOPET,CONST_166,DIST_166,9.5692,92.0712,CLUSTER_42,85.79
Maharashtra,LATUR(SC),CONST_167,DIST_167,26.5111,80.3604,CLUSTER_13,13.27
Telangana,MALKAJGIRI,CONST_168,DIST_168,9.3286,70.253,CLUSTER_24,11.67
Uttar Pradesh,RAMPUR,CONST_169,DIST_169,18.6088,89.8857,CLUSTER_36,56.37
Andhra Pradesh,KURNOOL,CONST_170,DIST_170,14.8671,92.6823,CLUSTER_32,58.34
West Bengal,MURSHIDABAD,CONST_171,DIST_171,29.6026,80.8427,CLUSTER_34,59.71
Uttar Pradesh,BIJNOR,CONST_172,DIST_172,10.1626,87.4948,CLUSTER_4,68.61
West Bengal,BARRACKPUR,CONST_173,DIST_173,25.738,76.7973,CLUSTER_23,33.18
Bihar,VAISHALI,CONST_174,DIST_174,34.2977,69.705,CLUSTER_15,25.5
Gujarat,KHEDA,CONST_175,DIST_175,30.8356,76.3146,CLUSTER_33,25.04
Gujarat,VADODARA,CONST_176,DIST_176,25.1711,74.9669,CLUSTER_27,55.58
West Bengal,BANKURA,CONST_177,DIST_177,34.5555,76.2989,CLUSTER_10,50.32
Maharashtra,MUMBAI NORTH WEST,CONST_178,DIST_178,19.3978,93.0228,CLUSTER_1,16.87
Rajasthan,JHUNJHUNU,CONST_179,DIST_179,9.1085,70.1402,CLUSTER_18,24.87
Rajasthan,BIKANER(SC),CONST_180,DIST_180,35.0411,69.4358,CLUSTER_18,18.45
Uttar Pradesh,SITAPUR,CONST_181,DIST_181,23.1583,91.474,CLUSTER_9,34.54
Rajasthan,SIKAR,CONST_182,DIST_182,28.3365,75.7314,CLUSTER_35,86.65
Bihar,MADHUBANI,CONST_183,DIST_183,16.0902,68.6229,CLUSTER_33,34.74
Himachal Pradesh,SHIMLA (SC),CONST_184,DIST_184,13.6651,79.6268,CLUSTER_18,48.84
Chhattisgarh,BASTAR(ST),CONST_185,DIST_185,24.5788,95.3991,CLUSTER_7,84.59
West Bengal,KOLKATA DAKSHIN,CONST_186,DIST_186,25.5361,92.48,CLUSTER_16,41.86
Uttar Pradesh,SULTANPUR,CONST_187,DIST_187,8.4797,95.1609,CLUSTER_41,44.85
Jharkhand,RANCHI,CONST_188,DIST_188,11.587,78.936,CLUSTER_29,38.05
West Bengal,SREERAMPUR,CONST_189,DIST_189,32.6856,70.4984,CLUSTER_46,65.08
Madhya Pradesh,BETUL(ST),CONST_190,DIST_190,30.1729,96.6519,CLUSTER_29,14.83
Bihar,KISHANGANJ,CONST_191,DIST_191,14.3306,96.7128,CLUSTER_4,67.81
Delhi,EAST DELHI,CONST_192,DIST_192,18.979,82.2293,CLUSTER_9,16.19
Uttar Pradesh,GHAZIPUR,CONST_193,DIST_193,23.6426,72.783,CLUSTER_25,19.37
Maharashtra,MUMBAI SOUTH,CONST_194,DIST_194,32.7726,69.7151,CLUSTER_28,73.2
Puducherry,Puducherry,CONST_195,DIST_195,30.6422,92.5957,CLUSTER_7,76.68
Madhya Pradesh,UJJAIN(SC),CONST_196,DIST_196,9.8062,71.7944,CLUSTER_6,11.68
Tamil Nadu,CHENNAI CENTRAL,CONST_197,DIST_197,20.3651,81.1149,CLUSTER_30,51.35
Gujarat,ANAND,CONST_198,DIST_198,21.5501,82.3824,CLUSTER_37,51.66
Uttar Pradesh,AMROHA,CONST_199,DIST_199,29.2456,86.1408,CLUSTER_36,31.66
Tamil Nadu,ERODE,CONST_200,DIST_200,22.3519,74.1395,CLUSTER_2,47.77
Maharashtra,JALGAON,CONST_201,DIST_201,21.7208,86.6675,CLUSTER_49,34.13
Tamil Nadu,MADURAI,CONST_202,DIST_202,31.8152,93.4923,CLUSTER_29,43.78
Delhi,NORTH EAST DELHI,CONST_203,DIST_203,29.0863,69.4633,CLUSTER_28,89.61
Uttar Pradesh,DHAURAHRA,CONST_204,DIST_204,18.2494,72.949,CLUSTER_7,16.16
Madhya Pradesh,SIDHI,CONST_205,DIST_205,22.93,84.6226,CLUSTER_48,37.54
Andhra Pradesh,RAJAMPET,CONST_206,DIST_206,11.6141,84.5682,CLUSTER_45,12.54
Rajasthan,BHILWARA,CONST_207,DIST_207,23.5188,96.9022,CLUSTER_10,50.76
Kerala,CHALAKUDY,CONST_208,DIST_208,23.7705,72.6348,CLUSTER_50,47.98
Punjab,AMRITSAR,CONST_209,DIST_209,36.4577,93.7976,CLUSTER_45,87.67
Uttar Pradesh,MOHANLALGANJ(SC),CONST_210,DIST_210,18.154,92.7738,CLUSTER_49,31.7
Uttar Pradesh,HATHRAS (SC),CONST_211,DIST_211,13.7703,93.1061,CLUSTER_29,62.67
Jammu And Kashmir,UDHAMPUR,CONST_212,DIST_212,22.0553,74.3921,CLUSTER_33,87.6
Assam,JORHAT,CONST_213,DIST_213,10.8337,88.3709,CLUSTER_12,48.18
Uttar Pradesh,LALGANJ (SC),CONST_214,DIST_214,9.7855,74.7689,CLUSTER_34,32.24
Uttar Pradesh,BALLIA,CONST_215,DIST_215,19.7725,95.5273,CLUSTER_6,79.63
Karnataka,BIDAR,CONST_216,DIST_216,21.0874,70.4912,CLUSTER_9,10.85
Telangana,BHONGIR,CONST_217,DIST_217,32.5102,89.6123,CLUSTER_28,37.55
Maharashtra,SATARA,CONST_218,DIST_218,30.3013,87.0068,CLUSTER_3,62.13
Tamil Nadu,KARUR,CONST_219,DIST_219,13.5032,83.08,CLUSTER_33,24.17
Tamil Nadu,CHENNAI SOUTH,CONST_220,DIST_220,27.5876,74.2887,CLUSTER_39,15.28
Haryana,BHIWANI MAHENDRAGARH,CONST_221,DIST_221,19.1876,90.583,CLUSTER_27,23.87
Tamil Nadu,DHARAMAPURI,CONST_222,DIST_222,18.0526,96.0139,CLUSTER_5,15.41
Uttar Pradesh,ETAWAH(SC),CONST_223,DIST_223,8.0131,91.6945,CLUSTER_15,23.23
Madhya Pradesh,MANDLA(ST),CONST_224,DIST_224,8.1667,88.8725,CLUSTER_40,54.59
Uttar Pradesh,FARRUKHABAD,CONST_225,DIST_225,36.4276,69.8229,CLUSTER_13,11.37
Uttar Pradesh,GHAZIABAD,CONST_226,DIST_226,13.0146,73.4484,CLUSTER_15,23.44
Karnataka,UDUPI CHIKMAGALUR,CONST_227,DIST_227,33.0647,69.5404,CLUSTER_26,38.51
West Bengal,BAHARAMPUR,CONST_228,DIST_228,14.987,96.8006,CLUSTER_15,19.96
Karnataka,CHIKKODI,CONST_229,DIST_229,34.8761,77.3113,CLUSTER_38,56.51
West Bengal,RANAGHAT(SC),CONST_230,DIST_230,33.4552,80.5114,CLUSTER_36,52.45
Tamil Nadu,THOOTHUKKUDI,CONST_231,DIST_231,8.9777,81.8885,CLUSTER_47,48.66
West Bengal,BARDHAMAN-DURGAPUR,CONST_232,DIST_232,15.0811,90.4579,CLUSTER_15,53.2
Telangana,CHELVELLA,CONST_233,DIST_233,14.5399,81.5134,CLUSTER_49,46.65
Bihar,KHAGARIA,CONST_234,DIST_234,19.6223,84.6701,CLUSTER_23,16.46
Uttar Pradesh,BASTI,CONST_235,DIST_235,34.3297,85.8369,CLUSTER_9,65.39
West Bengal,BARDHAMAN PURBA(SC),CONST_236,DIST_236,35.7506,90.119,CLUSTER_5,69.96
Gujarat,JUNAGADH,CONST_237,DIST_237,18.3044,89.3237,CLUSTER_48,73.67
Chhattisgarh,RAIGARH(ST),CONST_238,DIST_238,20.8805,85.4313,CLUSTER_37,24.68
West Bengal,HOWRAH,CONST_239,DIST_239,26.0804,86.8567,CLUSTER_8,13.39
West Bengal,DUM DUM,CONST_240,DIST_240,21.7367,70.0803,CLUSTER_2,43.35
Haryana,KURUKSHETRA,CONST_241,DIST_241,21.9244,91.7229,CLUSTER_14,27.88
Himachal Pradesh,KANGRA,CONST_242,DIST_242,10.2576,68.6992,CLUSTER_10,25.29
West Bengal,KANTHI,CONST_243,DIST_243,34.1713,96.8143,CLUSTER_32,52.56
Gujarat,AMRELI,CONST_244,DIST_244,19.7142,87.7933,CLUSTER_5,20.04
Madhya Pradesh,REWA,CONST_245,DIST_245,35.5834,73.9327,CLUSTER_33,85.36
Gujarat,JAMNAGAR,CONST_246,DIST_246,16.2137,68.9621,CLUSTER_12,47.4
Tamil Nadu,POLLACHI,CONST_247,DIST_247,29.2595,76.047,CLUSTER_48,76.23
Madhya Pradesh,INDORE,CONST_248,DIST_248,29.1792,75.2352,CLUSTER_28,51.79
Tamil Nadu,SRIPERUMBUDUR,CONST_249,DIST_249,19.7231,68.6956,CLUSTER_36,29.13
West Bengal,KOLKATA UTTAR,CONST_250,DIST_250,30.7494,71.5257,CLUSTER_25,76.1
Karnataka,UTTARA KANNADA,CONST_251,DIST_251,22.4913,92.9404,CLUSTER_14,12.16
Madhya Pradesh,CHHINDWARA,CONST_252,DIST_252,8.4292,72.198,CLUSTER_18,84.87
Tamil Nadu,CUDDALORE,CONST_253,DIST_253,11.0958,68.6472,CLUSTER_31,75.46
Andhra Pradesh,ARAKU(ST),CONST_254,DIST_254,23.1229,77.8229,CLUSTER_6,15.87
Madhya Pradesh,DHAR(ST),CONST_255,DIST_255,16.6024,83.2716,CLUSTER_28,61.33
Chhattisgarh,BILASPUR,CONST_256,DIST_256,28.7847,70.3697,CLUSTER_50,40.57
Madhya Pradesh,HOSHANGABAD,CONST_257,DIST_257,27.8987,96.9564,CLUSTER_18,41.48
Tamil Nadu,CHENNAI NORTH,CONST_258,DIST_258,13.897,69.5493,CLUSTER_42,37.3
Uttar Pradesh,BAREILLY,CONST_259,DIST_259,9.3787,70.2515,CLUSTER_4,88.01
Bihar,KATIHAR,CONST_260,DIST_260,14.268,77.4599,CLUSTER_21,13.25
Madhya Pradesh,TIKAMGARH(SC),CONST_261,DIST_261,8.643,96.7654,CLUSTER_37,16.52
West Bengal,ASANSOL,CONST_262,DIST_262,36.3115,80.345,CLUSTER_38,87.63
Delhi,NEW DELHI,CONST_263,DIST_263,8.4937,84.3783,CLUSTER_48,12.74
Andhra Pradesh,HINDUPUR,CONST_264,DIST_264,14.4677,83.5533,CLUSTER_7,20.4
Telangana,MAHABUBABAD,CONST_265,DIST_265,21.2171,78.3426,CLUSTER_9,79.96
Uttar Pradesh,GHOSI,CONST_266,DIST_266,25.7199,86.0761,CLUSTER_7,54.3
Telangana,WARANGEL(SC),CONST_267,DIST_267,15.1446,68.7798,CLUSTER_34,59.26
Odisha,KORAPUT(ST),CONST_268,DIST_268,15.8318,86.7663,CLUSTER_1,17.15
Rajasthan,JHALAWAR-BARAN,CONST_269,DIST_269,35.1696,81.5662,CLUSTER_27,87.29
Uttar Pradesh,GONDA,CONST_270,DIST_270,22.8378,85.6743,CLUSTER_36,49.28
